,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__preprocess,param_module__conv_type,param_module__channel_list,param_module__fc_hidden_layers,param_module__temporal_attention,mean_fit_time
11,1,0.9204081632653062,0.009815609377069497,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[2048, 32]",,154.2971371014913
8,2,0.9183673469387755,0.010667429531955586,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[1024, 32]",,162.67926375071207
5,3,0.9173469387755102,0.007004345681572003,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[512, 32]",,169.21778798103333
12,4,0.9168367346938775,0.00959983678651443,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[2048, 128]",,114.5211747487386
6,5,0.9163265306122449,0.013178504409277087,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[512, 128]",,110.47567001978557
10,6,0.914795918367347,0.01165597558355767,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[1024, 512]",,83.19914221763611
9,7,0.9132653061224489,0.006937800917047325,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[1024, 128]",,101.90661891301473
3,8,0.9102040816326531,0.009255482603186545,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]",[1024],,109.26508975028992
2,9,0.9086734693877551,0.014536320864121623,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]",[512],,139.50488368670145
7,9,0.9086734693877551,0.00818863330604637,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[512, 512]",,95.46145216623943
1,11,0.9076530612244897,0.014431735983694316,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]",[128],,195.3318285147349
13,12,0.9035714285714286,0.009490566923168688,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[2048, 512]",,75.13381814956665
4,13,0.9020408163265307,0.007670385319941524,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]",[2048],,89.02875725428264
0,14,0.886734693877551,0.018082778306405853,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]",[32],,301.6557632287343
