,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__preprocess,param_module__conv_type,param_module__channel_list,param_module__fc_hidden_layers,param_module__activation_fct,param_module__dropout,mean_fit_time
14,1,0.914795918367347,0.009693636724912611,2000,64,0.0001,LSC,temporal,"[(132, None), (66, 66)]","[1936, 256]",prelu,0.5132013578501974,231.19601170221964
2,2,0.9127551020408163,0.007006932630735757,2000,64,0.0001,LSC,regular,"[(120, None), (131, 1), (23, 1)]","[1936, 64]",prelu,0.364290818958921,137.16859078407288
16,3,0.9112244897959184,0.0045228192596393465,2000,64,0.0001,LSC,regular,"[(111, None), (42, 3), (54, 3), (129, 3)]","[1936, 64]",prelu,0.554702814590276,361.89761598904926
15,4,0.9086734693877551,0.005840300771617589,2000,64,0.0001,LSC,regular,"[(88, None), (110, 11)]","[1936, 128]",prelu,0.43064516960624166,127.15813740094502
0,5,0.9081632653061225,0.006546396686588483,2000,64,0.0001,LSC,regular,"[(132, None), (66, 66), (132, 66)]","[1936, 128]",prelu,0.4175690005831708,221.96049364407858
7,5,0.9081632653061225,0.006461811335579104,2000,64,0.0001,LSC,temporal,"[(132, None), (44, 22)]","[1936, 64]",prelu,0.29837632956413745,167.6641218662262
13,7,0.9025510204081633,0.010045796596887369,2000,64,0.0001,LSC,regular,"[(119, None), (128, 1)]","[1936, 128]",prelu,0.3066835814026527,71.21464959780376
3,8,0.9020408163265307,0.010853828878240358,2000,64,0.0001,LSC,temporal,"[(132, None), (44, 11)]","[1936, 256]",prelu,0.36109912727543253,131.2633979320526
1,9,0.8994897959183673,0.008487359377312624,2000,64,0.0001,LSC,regular,"[(24, None), (65, 1), (84, 1)]","[1936, 64]",prelu,0.2537273481514357,105.02823901176453
5,10,0.8846938775510204,0.006433854542913244,2000,64,0.0001,LSC,regular,"[(132, None), (132, 66), (132, 66), (66, 66), (132, 66), (132, 66)]","[1936, 256]",prelu,0.3753833944652667,438.4307355086009
19,11,0.875,0.0072657408010770325,2000,64,0.0001,LSC,temporal,"[(60, None), (102, 3), (6, 3)]","[1936, 256]",prelu,0.3986550208052125,228.07819747924805
6,12,0.8693877551020408,0.002577573602051562,2000,64,0.0001,LSC,temporal,"[(132, None), (88, 22), (88, 22), (132, 22), (132, 22)]","[1936, 256]",prelu,0.5839012204073099,1239.3974362214406
8,13,0.8678571428571429,0.006829123944727987,2000,64,0.0001,LSC,regular,"[(51, None), (120, 3), (75, 3), (129, 3), (9, 3), (66, 3)]","[1936, 256]",prelu,0.33511624340377155,301.0341378053029
17,14,0.861734693877551,0.024917514069894904,2000,64,0.0001,LSC,regular,"[(72, None), (93, 3), (21, 3), (3, 3), (57, 3)]","[1936, 256]",prelu,0.41587064268535656,269.7620232105255
9,15,0.8372448979591837,0.0211717588840134,2000,64,0.0001,LSC,temporal,"[(89, None), (33, 1), (8, 1), (120, 1), (74, 1)]","[1936, 128]",prelu,0.32347580801193077,314.0127589702606
11,16,0.8346938775510204,0.010567316532939278,2000,64,0.0001,LSC,temporal,"[(43, None), (69, 1), (52, 1), (54, 1), (80, 1), (79, 1)]","[1936, 64]",prelu,0.2553222185225644,295.9140179157257
18,17,0.8306122448979592,0.02887026560390766,2000,64,0.0001,LSC,temporal,"[(102, None), (9, 3), (102, 3), (105, 3), (72, 3)]","[1936, 64]",prelu,0.24690223432171293,299.944585164388
12,18,0.8091836734693878,0.010447405107239124,2000,64,0.0001,LSC,temporal,"[(66, None), (110, 22), (132, 22), (66, 22), (22, 22), (110, 22)]","[1936, 256]",prelu,0.5185057681309128,1228.861041545868
10,19,0.8035714285714286,0.0031652673789268043,2000,64,0.0001,LSC,temporal,"[(88, None), (88, 22), (22, 22), (66, 22), (132, 22)]","[1936, 256]",prelu,0.32651341654724064,523.6219414869944
4,20,0.798469387755102,0.010037957676422965,2000,64,0.0001,LSC,temporal,"[(11, None), (99, 11), (44, 11), (33, 11), (11, 11)]","[1936, 128]",prelu,0.2953937478232761,556.7600230375925
