,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__channel_list,param_module__conv_type,param_module__dropout,param_module__fc_hidden_layers,param_module__preprocess,param_module__temporal_attention,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
24,117.4911109606425,21.98256577188246,0.04967411359151205,0.0031337971323508003,64,0.0001,2000,prelu,"[(70, None), (90, 1), (107, 1), (122, 1)]",regular,0.41956458131078966,"[1936, 64]",LSC,,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(70, None), (90, 1), (107, 1), (122, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.41956458131078966, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC', 'module__temporal_attention': None}",0.8990825688073395,0.9127105666156202,0.9081163859111792,0.9066326530612245,0.0056622864945366095,1,0.9762633996937213,0.9762815608263198,0.9770466717674062,0.9765305440958159,0.00036503268047335697
15,248.50131257375082,19.500871894465238,0.05475974082946777,0.0017284028342801252,64,0.0001,2000,prelu,"[(66, None), (132, 66), (132, 66)]",regular,0.5337294059770881,"[1936, 128]",LSC,,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(66, None), (132, 66), (132, 66)], 'module__conv_type': 'regular', 'module__dropout': 0.5337294059770881, 'module__fc_hidden_layers': [1936, 128], 'module__preprocess': 'LSC', 'module__temporal_attention': None}",0.8929663608562691,0.9096477794793262,0.900459418070444,0.9010204081632653,0.006822560110918905,2,0.9777947932618682,0.9846977811782709,0.9778117827084928,0.9801014523828773,0.0032501026606193365
3,267.8796083132426,6.874222734942845,0.062279701232910156,0.0016310432409677514,64,0.0001,2000,prelu,"[(92, None), (19, 1), (19, 1), (45, 1), (55, 1), (5, 1)]",regular,0.3296269452347208,"[1936, 128]",LSC,,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(92, None), (19, 1), (19, 1), (45, 1), (55, 1), (5, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.3296269452347208, 'module__fc_hidden_layers': [1936, 128], 'module__preprocess': 'LSC', 'module__temporal_attention': None}",0.8761467889908257,0.8973966309341501,0.8728943338437979,0.8821428571428571,0.010863393645160601,3,0.9640122511485452,0.9709257842387146,0.9655700076511095,0.9668360143461231,0.0029610037330924646
13,153.56732352574667,22.342412823975252,0.06427383422851562,0.0010502261462093903,64,0.0001,2000,prelu,"[(125, None), (89, 1), (63, 1), (130, 1), (20, 1), (35, 1)]",regular,0.2966525920638347,"[1936, 256]",LSC,,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(125, None), (89, 1), (63, 1), (130, 1), (20, 1), (35, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.2966525920638347, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC', 'module__temporal_attention': None}",0.8700305810397554,0.892802450229709,0.8836140888208269,0.8821428571428571,0.009355734494838727,3,0.9793261868300153,0.9701606732976281,0.9701606732976281,0.9732158444750905,0.00432066451453868
8,277.41435901323956,14.312920350902358,0.10922122001647949,0.005759792246186552,64,0.0001,2000,prelu,"[(101, None), (36, 1), (107, 1), (105, 1), (37, 1), (49, 1)]",temporal,0.335784849521646,"[1936, 256]",LSC,,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(101, None), (36, 1), (107, 1), (105, 1), (37, 1), (49, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.335784849521646, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC', 'module__temporal_attention': None}",0.8532110091743119,0.8545176110260337,0.8437978560490046,0.8505102040816327,0.004774429697364731,5,0.9640122511485452,0.9671002295332823,0.9487375669472073,0.9599500158763449,0.00802799937167994
2,481.36164752642316,34.24466130229149,0.09740583101908366,0.002098091139321903,64,0.0001,2000,prelu,"[(110, None), (44, 11), (55, 11), (77, 11)]",temporal,0.479605984725611,"[1936, 64]",LSC,,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(110, None), (44, 11), (55, 11), (77, 11)], 'module__conv_type': 'temporal', 'module__dropout': 0.479605984725611, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC', 'module__temporal_attention': None}",0.7920489296636085,0.8514548238897397,0.8070444104134763,0.8168367346938775,0.025223689984879845,6,0.9310872894333844,0.96327467482785,0.9372609028309105,0.943874289030715,0.013947750174700537
22,444.63905119895935,27.306076446992197,0.09961740175882976,0.001494460478405354,64,0.0001,2000,prelu,"[(132, None), (132, 66), (132, 66), (66, 66), (132, 66)]",regular,0.29220520520778986,"[1936, 64]",LSC,general_attention,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(132, None), (132, 66), (132, 66), (66, 66), (132, 66)], 'module__conv_type': 'regular', 'module__dropout': 0.29220520520778986, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC', 'module__temporal_attention': 'general_attention'}",0.7828746177370031,0.7549770290964778,0.7840735068912711,0.7739795918367347,0.013440616518775482,7,0.9264931087289433,0.8982402448355011,0.8745218056618209,0.8997517197420885,0.02124409726517939
7,117.6421418984731,11.839363074378943,0.0619513193766276,0.002040246066725608,64,0.0001,2000,prelu,"[(71, None), (90, 1), (14, 1), (82, 1)]",regular,0.21854955459188863,"[1936, 256]",LSC,general_attention,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(71, None), (90, 1), (14, 1), (82, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.21854955459188863, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC', 'module__temporal_attention': 'general_attention'}",0.7140672782874617,0.7580398162327718,0.7947932618683001,0.7556122448979592,0.033005072362464145,8,0.8935681470137825,0.8783473603672532,0.9234889058913542,0.8984681377574634,0.01875183928831585
9,892.5147806008657,24.521937142569275,0.12116297086079915,0.0013352222694081,64,0.0001,2000,prelu,"[(132, None), (132, 66), (66, 66), (132, 66), (132, 66), (132, 66)]",regular,0.534272844142871,"[1936, 128]",LSC,general_attention,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(132, None), (132, 66), (66, 66), (132, 66), (132, 66), (132, 66)], 'module__conv_type': 'regular', 'module__dropout': 0.534272844142871, 'module__fc_hidden_layers': [1936, 128], 'module__preprocess': 'LSC', 'module__temporal_attention': 'general_attention'}",0.7415902140672783,0.7381316998468607,0.7611026033690659,0.746938775510204,0.010110604563762303,9,0.9134762633996937,0.8859984697781178,0.8599846977811783,0.8864864769863298,0.021840566405299345
14,91.66851536432902,6.239641051613877,0.04623309771219889,0.0009989238917207772,64,0.0001,2000,prelu,"[(78, None), (126, 1), (54, 1)]",regular,0.22532216289289242,"[1936, 256]",LSC,dot_attention,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(78, None), (126, 1), (54, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.22532216289289242, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC', 'module__temporal_attention': 'dot_attention'}",0.7339449541284404,0.6891271056661562,0.7580398162327718,0.7270408163265306,0.028547501600336644,10,0.9211332312404288,0.8332058148431523,0.8990053557765876,0.8844481339533896,0.037342934797918226
