,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__dropout,param_module__net_type,param_module__tcn_channels,param_module__tcn_k,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6,553.8534512519836,22.064777928865443,0.2792627016703288,0.11589473249664452,32,0.0001,1000,prelu,0.45817307250234096,TCN,[22],2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.45817307250234096, 'module__net_type': 'TCN', 'module__tcn_channels': [22], 'module__tcn_k': 2}",0.8700305810397554,0.9127105666156202,0.900459418070444,0.8943877551020408,0.017946937747915746,1,0.9678407350689127,0.9663351185921959,0.9663351185921959,0.9668369907511015,0.0007097544137017479
2,743.0703993638357,76.20998969752902,0.3581109841664632,0.161046359261193,32,0.0001,1000,prelu,0.7011471018179872,TCN,[22],5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.7011471018179872, 'module__net_type': 'TCN', 'module__tcn_channels': [22], 'module__tcn_k': 5}",0.863914373088685,0.9050535987748851,0.9127105666156202,0.8938775510204081,0.021432451865540828,2,0.9517611026033691,0.9540933435348126,0.9671002295332823,0.9576515585571547,0.006748722069247043
7,723.5938053131104,94.11625697498717,0.2155145804087321,0.0017356504264936803,32,0.0001,1000,prelu,0.7066133339365033,TCN,[22],3,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.7066133339365033, 'module__net_type': 'TCN', 'module__tcn_channels': [22], 'module__tcn_k': 3}",0.8853211009174312,0.9096477794793262,0.8836140888208269,0.8928571428571429,0.011888677762630152,3,0.9632465543644717,0.9456771231828616,0.9556235654169855,0.9548490809881063,0.007193566459425901
5,502.95771249135333,75.9988995161665,0.24419275919596353,0.06381213897682493,32,0.0001,1000,prelu,0.40521875183401357,TCN,[22],2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.40521875183401357, 'module__net_type': 'TCN', 'module__tcn_channels': [22], 'module__tcn_k': 2}",0.882262996941896,0.9035222052067381,0.8836140888208269,0.889795918367347,0.009717907003956553,4,0.9816232771822359,0.9533282325937261,0.9502677888293802,0.9617397662017808,0.014115171168901692
8,840.7517556349436,81.85498425645227,0.5394934018452963,0.005399775354173114,32,0.0001,1000,prelu,0.676027932304609,TCN,"[66, 11]",4,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.676027932304609, 'module__net_type': 'TCN', 'module__tcn_channels': [66, 11], 'module__tcn_k': 4}",0.8562691131498471,0.8744257274119449,0.8575803981623277,0.8627551020408163,0.00826657691470533,5,0.9479326186830015,0.928079571537873,0.9387911247130833,0.9382677716446525,0.00811341662771611
4,849.0310860474905,23.38777581048364,0.44466694196065265,0.004328367016673846,32,0.0001,1000,prelu,0.7011303286404917,TCN,"[66, 11]",3,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.7011303286404917, 'module__net_type': 'TCN', 'module__tcn_channels': [66, 11], 'module__tcn_k': 3}",0.8486238532110092,0.877488514548239,0.8514548238897397,0.8591836734693877,0.012990053661600167,6,0.9525267993874426,0.9311400153022188,0.9311400153022188,0.9382689433306267,0.010081826702956171
3,890.9209446112314,207.33541606701556,0.5877283414204916,0.0016970085503045381,32,0.0001,1000,prelu,0.53044043119605,TCN,"[66, 11]",5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.53044043119605, 'module__net_type': 'TCN', 'module__tcn_channels': [66, 11], 'module__tcn_k': 5}",0.8470948012232415,0.8698315467075038,0.8514548238897397,0.8561224489795919,0.00985225299205582,7,0.9601837672281777,0.9410864575363428,0.9357306809487376,0.945666968571086,0.010495210595059971
0,719.5240383942922,108.59155379084326,0.4508808453877767,0.006643367933404634,32,0.0001,1000,prelu,0.6122667136151118,TCN,"[66, 11]",3,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.6122667136151118, 'module__net_type': 'TCN', 'module__tcn_channels': [66, 11], 'module__tcn_k': 3}",0.8547400611620795,0.8591117917304747,0.8468606431852986,0.8535714285714285,0.005068159503157247,8,0.9624808575803981,0.9349655700076511,0.9326702371843917,0.9433722215908137,0.013544300528985512
9,720.0897262891134,82.66721641886166,0.22827545801798502,0.0031676517829008146,32,0.0001,1000,prelu,0.7397603023488881,TCN,"[22, 11]",2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.7397603023488881, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 11], 'module__tcn_k': 2}",0.8593272171253823,0.8606431852986217,0.8254211332312404,0.8484693877551021,0.016300199341371373,9,0.9402756508422665,0.9166029074215761,0.8974751338944147,0.9181178973860858,0.017506045787960632
1,520.5488913059235,60.78967507074231,0.2545812924702962,0.0013918678758486557,32,0.0001,1000,prelu,0.57122500353826,TCN,"[22, 11]",3,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.57122500353826, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 11], 'module__tcn_k': 3}",0.8470948012232415,0.8085758039816233,0.8300153139356815,0.8285714285714286,0.015760395550697057,10,0.9402756508422665,0.909716908951798,0.918133129303749,0.9227085630326045,0.012888240682560972
