;rank_test_score;mean_test_score;mean_train_score;std_test_score;std_train_score;param_lr;param_max_epochs;param_batch_size;param_module__activation_fct
4;1;0,87602041;0,97295885;0,00367157;0,00180851;0,001;200;64;prelu
1;2;0,87346939;0,97372397;0,02022486;0,00191626;0,001;200;32;prelu
7;3;0,86785714;0,9591808;0,00509972;0,00879263;0,0001;400;32;prelu
3;4;0,85663265;0,96199168;0,02154773;0,01099983;0,001;200;64;relu
10;5;0,85102041;0,92499726;0,00993421;0,00763076;0,0001;400;64;prelu
5;6;0,84846939;0,96989743;0,02927282;0,0015828;0,001;200;64;swish
0;7;0,84693878;0,96096919;0,01681275;0,00596068;0,001;200;32;relu
6;7;0,84693878;0,93775477;0,01276787;0,0128399;0,0001;400;32;relu
2;9;0,84387755;0,96734804;0,01433717;0,00375726;0,001;200;32;swish
9;10;0,82857143;0,91990218;0,02955877;0,02397584;0,0001;400;64;relu
8;11;0,82602041;0,92040366;0,01412371;0,01294282;0,0001;400;32;swish
11;12;0,81173469;0,88545852;0,02535023;0,01821037;0,0001;400;64;swish
