,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__net_type,param_module__tcn_channels,mean_fit_time
4,1,0.8642857142857143,0.009638442470096821,1000,32,0.0001,0.5554059375520061,prelu,TCN,"[33, 22]",723.3578193982443
3,2,0.8576530612244898,0.01431795931950704,1000,32,0.0001,0.33409775164974675,prelu,TCN,"[22, 6]",534.1590348084768
6,3,0.8505102040816327,0.019910794219719925,1000,32,0.0001,0.736694337986975,prelu,TCN,"[33, 11, 11]",1136.925805568695
0,4,0.8489795918367347,0.0056308936653547735,1000,32,0.0001,0.2189990072412864,prelu,TCN,"[33, 22]",423.7390824158986
1,5,0.8403061224489796,0.025989325709818312,1000,32,0.0001,0.502187345852756,prelu,TCN,"[22, 6]",638.8728988170624
9,6,0.8316326530612245,0.015269880621118295,1000,32,0.0001,0.5430797890358237,prelu,TCN,"[22, 6]",745.5731347401937
7,7,0.8301020408163265,0.011914253519526484,1000,32,0.0001,0.13481379486772205,prelu,TCN,"[22, 11]",379.2651382287343
8,8,0.6770408163265306,0.07451937487780719,1000,32,0.0001,0.9338831061116769,prelu,TCN,"[33, 11, 11]",2184.3950889110565
5,9,0.07244897959183673,0.003096676535845033,1000,32,0.0001,0.9870934258996976,prelu,TCN,"[22, 22, 11]",186.37606732050577
2,10,0.06020408163265306,0.0038109580391271058,1000,32,0.0001,0.967457747308511,prelu,TCN,"[33, 11, 11]",341.8883658250173
