,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__net_type,param_module__tcn_channels,param_module__tcn_k,mean_fit_time
6,1,0.8943877551020408,0.017946937747915746,1000,32,0.0001,0.45817307250234096,prelu,TCN,[22],2,553.8534512519836
2,2,0.8938775510204081,0.021432451865540828,1000,32,0.0001,0.7011471018179872,prelu,TCN,[22],5,743.0703993638357
7,3,0.8928571428571429,0.011888677762630152,1000,32,0.0001,0.7066133339365033,prelu,TCN,[22],3,723.5938053131104
5,4,0.889795918367347,0.009717907003956553,1000,32,0.0001,0.40521875183401357,prelu,TCN,[22],2,502.95771249135333
8,5,0.8627551020408163,0.00826657691470533,1000,32,0.0001,0.676027932304609,prelu,TCN,"[66, 11]",4,840.7517556349436
4,6,0.8591836734693877,0.012990053661600167,1000,32,0.0001,0.7011303286404917,prelu,TCN,"[66, 11]",3,849.0310860474905
3,7,0.8561224489795919,0.00985225299205582,1000,32,0.0001,0.53044043119605,prelu,TCN,"[66, 11]",5,890.9209446112314
0,8,0.8535714285714285,0.005068159503157247,1000,32,0.0001,0.6122667136151118,prelu,TCN,"[66, 11]",3,719.5240383942922
9,9,0.8484693877551021,0.016300199341371373,1000,32,0.0001,0.7397603023488881,prelu,TCN,"[22, 11]",2,720.0897262891134
1,10,0.8285714285714286,0.015760395550697057,1000,32,0.0001,0.57122500353826,prelu,TCN,"[22, 11]",3,520.5488913059235
