,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
4,"184,37832618","0,20874023","0,87602041","0,97295885",64,0.001,200,prelu,"{'batch_size': 64, 'lr': 0.001, 'max_epochs': 200, 'module__activation_fct': 'prelu'}",1,"0,87155963","0,97166922","0,87595712","0,97551645","0,8805513","0,9716909","1,35966241","0,00219733","0,00367157","0,00180851"
1,"188,14427964","0,24259535","0,87346939","0,97372397",32,0.001,200,prelu,"{'batch_size': 32, 'lr': 0.001, 'max_epochs': 200, 'module__activation_fct': 'prelu'}",2,"0,84556575","0,97166922","0,89280245","0,97628156","0,8820827","0,97322112","1,6652943","0,00746982","0,02022486","0,00191626"
7,"367,51325003","0,23470561","0,86785714","0,9591808",32,0.0001,400,prelu,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 400, 'module__activation_fct': 'prelu'}",3,"0,87155963","0,94793262","0,87136294","0,96021423","0,86064319","0,96939556","2,77354917","0,02875793","0,00509972","0,00879263"
3,"218,12896323","0,20920531","0,85663265","0,96199168",64,0.001,200,relu,"{'batch_size': 64, 'lr': 0.001, 'max_epochs': 200, 'module__activation_fct': 'relu'}",4,"0,86544343","0,96937213","0,87748851","0,97016067","0,82695253","0,94644223","2,86957467","0,01272868","0,02154773","0,01099983"
10,"402,70257171","0,23313967","0,85102041","0,92499726",64,0.0001,400,prelu,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 400, 'module__activation_fct': 'prelu'}",5,"0,83944954","0,91424196","0,86370597","0,92960979","0,84992343","0,93114002","9,55604691","0,00749063","0,00993421","0,00763076"
5,"217,74989899","0,24352892","0,84846939","0,96989743",64,0.001,200,swish,"{'batch_size': 64, 'lr': 0.001, 'max_epochs': 200, 'module__activation_fct': 'swish'}",6,"0,80733945","0,96784074","0,86523737","0,97016067","0,87289433","0,9716909","8,4601243","0,02697709","0,02927282","0,0015828"
0,"241,83158271","0,23319459","0,84693878","0,96096919",32,0.001,200,relu,"{'batch_size': 32, 'lr': 0.001, 'max_epochs': 200, 'module__activation_fct': 'relu'}",7,"0,82721713","0,96018377","0,86830015","0,96863045","0,84532925","0,95409334","4,35412645","0,01572541","0,01681275","0,00596068"
6,"480,01269603","0,26596737","0,84693878","0,93775477",32,0.0001,400,relu,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 400, 'module__activation_fct': 'relu'}",7,"0,86085627","0,93644717","0,83001531","0,92272379","0,84992343","0,95409334","41,2180516","0,04862749","0,01276787","0,0128399"
2,"213,72601302","0,25158723","0,84387755","0,96734804",32,0.001,200,swish,"{'batch_size': 32, 'lr': 0.001, 'max_epochs': 200, 'module__activation_fct': 'swish'}",9,"0,83027523","0,97166922","0,83767228","0,96786534","0,86370597","0,96250956","5,03148697","0,01150722","0,01433717","0,00375726"
9,"532,72745728","0,25763901","0,82857143","0,91990218",64,0.0001,400,relu,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 400, 'module__activation_fct': 'relu'}",10,"0,85932722","0,93644717","0,78866769","0,88599847","0,83767228","0,9372609","179,713141","0,01561126","0,02955877","0,02397584"
8,"1809,46517539","0,37846931","0,82602041","0,92040366",32,0.0001,400,swish,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 400, 'module__activation_fct': 'swish'}",11,"0,81192661","0,90275651","0,82082695","0,92501913","0,84532925","0,93343535","1869,91269","0,20903733","0,01412371","0,01294282"
11,"398,44338703","0,20941536","0,81173469","0,88545852",64,0.0001,400,swish,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 400, 'module__activation_fct': 'swish'}",12,"0,8058104","0,88284839","0,84532925","0,9089518","0,78407351","0,86457536","6,61016373","0,00188141","0,02535023","0,01821037"
