,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__net_type,param_module__tcn_channels,param_module__tcn_k,mean_fit_time
4,1,0.9010204081632653,0.00397308590069203,1000,32,0.0001,0.4,prelu,TCN,[33],4,718.4752860069275
2,2,0.8964285714285715,0.007958961339696336,1000,32,0.0001,0.4,prelu,TCN,[11],2,452.0647185643514
8,3,0.8928571428571429,0.009841271855532328,1000,32,0.0001,0.4,prelu,TCN,[66],2,2120.768048365911
3,4,0.889795918367347,0.0053671746400654665,1000,32,0.0001,0.4,prelu,TCN,[66],2,2032.523673137029
5,4,0.889795918367347,0.010603510471107152,1000,32,0.0001,0.4,prelu,TCN,[33],5,691.5983649889628
0,6,0.8887755102040816,0.011931851567401603,1000,32,0.0001,0.4,prelu,TCN,[6],4,484.9793736934662
1,7,0.8857142857142857,0.010094213857481065,1000,32,0.0001,0.4,prelu,TCN,[44],5,947.714915672938
6,8,0.8841836734693878,0.013513421120215448,1000,32,0.0001,0.4,prelu,TCN,[44],3,931.2648966312408
7,9,0.8821428571428571,0.0032803318924716175,1000,32,0.0001,0.4,prelu,TCN,[66],5,1692.4276935259502
9,10,0.8795918367346939,0.007621916078254199,1000,32,0.0001,0.4,prelu,TCN,[6],4,466.5720895926158
